Event,Time_CPU,Time_RTC,Ardn_time[ms],ADC[0-0123],SiPM[mV],Deadtime[ms],Temp[C]
359,11:05:30,0:17:46,409262,316,56.81,1839,31.21
360,11:05:31,0:17:47,410908,88,20.96,1844,31.21
361,11:05:33,0:17:49,412774,192,32.67,1849,31.64
362,11:05:34,0:17:50,412976,344,64.67,1854,31.21
363,11:05:34,0:17:50,413224,480,130.21,1859,31.21
364,11:05:35,0:17:51,414611,408,90.57,1865,31.43
365,11:05:36,0:17:52,415243,207,35.26,1870,31.43
366,11:05:36,0:17:53,416326,56,16.76,1875,31.21
367,11:05:39,0:17:55,418385,255,43.96,1880,31.64
368,11:05:39,0:17:55,418491,51,15.86,1885,31.21
369,11:05:40,0:17:56,418503,88,20.96,1890,31.21
370,11:05:40,0:17:56,419049,271,46.93,1895,31.21
371,11:05:40,0:17:57,419321,96,21.67,1900,31.43
372,11:05:41,0:17:58,421055,199,33.86,1905,31.43
373,11:05:42,0:17:58,421440,384,80.08,1910,31.86
374,11:05:43,0:17:59,422812,62,17.75,1915,31.21
375,11:05:44,0:18:0,423049,316,56.81,1921,31.86
376,11:05:44,0:18:0,423951,79,20.03,1926,31.21
377,11:05:46,0:18:2,425548,112,22.94,1931,31.43
378,11:05:47,0:18:3,426438,174,29.79,1936,31.21
379,11:05:48,0:18:4,427881,135,24.92,1941,31.86
380,11:05:49,0:18:5,428812,94,21.50,1947,31.86
381,11:05:50,0:18:6,429772,240,41.21,1952,31.21
382,11:05:51,0:18:7,430287,399,87.30,1958,31.64
383,11:05:51,0:18:7,430467,307,54.48,1963,31.21
384,11:05:52,0:18:8,431529,295,51.75,1968,31.21
385,11:05:52,0:18:8,431592,270,46.71,1973,31.43
386,11:05:54,0:18:10,433712,97,21.75,1979,31.43
387,11:05:55,0:18:11,434390,496,144.49,1984,31.21
388,11:05:56,0:18:12,435520,252,43.42,1990,31.21
389,11:05:56,0:18:13,435923,287,50.23,1996,31.21
390,11:05:57,0:18:13,435966,62,17.75,2001,31.86
391,11:05:59,0:18:15,438160,71,19.06,2007,31.64
392,11:05:59,0:18:15,438480,454,115.28,2012,31.64
393,11:06:01,0:18:18,440886,135,24.92,2018,31.86
394,11:06:02,0:18:18,440923,56,16.76,2024,31.75
395,11:06:02,0:18:18,441159,432,101.61,2029,31.21
396,11:06:03,0:18:19,441185,455,117.03,2034,31.86
397,11:06:03,0:18:19,442374,63,17.91,2040,31.21
398,11:06:03,0:18:20,442402,335,61.77,2046,31.96
399,11:06:06,0:18:22,445277,92,21.32,2051,31.43
400,11:06:08,0:18:25,447911,54,16.41,2056,31.43
401,11:06:10,0:18:27,449976,48,15.29,2061,31.64
402,11:06:11,0:18:27,450502,335,61.77,2066,31.21
403,11:06:13,0:18:29,452512,56,16.76,2071,31.86
404,11:06:16,0:18:32,455254,369,73.42,2076,31.64
405,11:06:17,0:18:33,456538,287,50.23,2081,31.43
406,11:06:17,0:18:34,456805,217,37.04,2086,31.21
407,11:06:20,0:18:36,459813,63,17.91,2091,31.21
408,11:06:20,0:18:37,460364,126,24.09,2097,31.21
409,11:06:21,0:18:37,460776,284,49.41,2103,31.21
410,11:06:22,0:18:38,461291,134,24.82,2108,31.96
411,11:06:22,0:18:39,462310,131,24.54,2114,31.21
412,11:06:25,0:18:41,464820,97,21.75,2120,31.21
413,11:06:27,0:18:43,466333,344,64.67,2125,31.21
414,11:06:27,0:18:44,466784,56,16.76,2130,31.86
415,11:06:28,0:18:44,467496,295,51.75,2135,31.43
416,11:06:28,0:18:45,467520,344,64.67,2140,31.21
417,11:06:29,0:18:45,468509,255,43.96,2145,31.86
418,11:06:30,0:18:47,469982,327,59.28,2150,31.21
419,11:06:32,0:18:49,472268,103,22.23,2155,31.43
420,11:06:33,0:18:49,472674,94,21.50,2160,32.07
421,11:06:33,0:18:50,472899,71,19.06,2165,31.53
