,Time_CPU,Time_RTC,"Acceleration[(x,y,z),(m/s^2)]","Magnetometer[(x,y,z),(uT)]"
107,11:17:33,0:29:49,"(-9.637975619999999, -0.61193496, 0.038245935)","(44.699999999999996, 11.85, 42.6)"
108,11:17:43,0:29:59,"(-9.599729685, -0.573689025, 0.07649187)","(43.5, 12.299999999999999, 41.85)"
109,11:17:54,0:30:10,"(-9.56148375, -0.49719715499999995, 0.07649187)","(43.65, 12.299999999999999, 42.75)"
110,11:18:04,0:30:20,"(-9.56148375, -0.53544309, 0.0)","(43.8, 10.95, 42.6)"
111,11:18:15,0:30:31,"(-9.484991879999999, -0.49719715499999995, 0.07649187)","(44.55, 12.45, 43.5)"
112,11:18:25,0:30:41,"(-9.637975619999999, -0.573689025, 0.0)","(44.85, 12.15, 41.699999999999996)"
113,11:18:36,0:30:52,"(-9.676221555, -0.53544309, 0.038245935)","(44.1, 12.299999999999999, 42.0)"
114,11:18:46,0:31:2,"(-9.484991879999999, -0.49719715499999995, 0.0)","(44.25, 11.85, 42.449999999999996)"
115,11:18:57,0:31:13,"(-9.599729685, -0.573689025, 0.0)","(43.35, 12.6, 42.75)"
116,11:19:07,0:31:23,"(-9.599729685, -0.53544309, 0.0)","(43.5, 12.0, 41.55)"
117,11:19:18,0:31:34,"(-9.637975619999999, -0.573689025, 0.114737805)","(44.55, 11.85, 42.449999999999996)"
118,11:19:28,0:31:45,"(-9.637975619999999, -0.53544309, 0.038245935)","(43.8, 11.7, 42.449999999999996)"
119,11:19:39,0:31:55,"(-9.599729685, -0.53544309, 0.0)","(44.4, 12.75, 42.75)"
120,11:19:49,0:32:6,"(-9.599729685, -0.53544309, 0.038245935)","(43.65, 11.85, 42.449999999999996)"
121,11:20:00,0:32:16,"(-9.56148375, -0.61193496, 0.038245935)","(43.8, 12.75, 42.449999999999996)"
122,11:20:11,0:32:27,"(-9.56148375, -0.573689025, 0.07649187)","(44.1, 12.45, 42.9)"
123,11:20:21,0:32:37,"(-9.56148375, -0.573689025, 0.07649187)","(43.949999999999996, 11.7, 42.75)"
124,11:20:32,0:32:48,"(-9.599729685, -0.573689025, 0.0)","(43.8, 12.299999999999999, 42.3)"
125,11:20:42,0:32:58,"(-9.599729685, -0.573689025, 0.07649187)","(43.949999999999996, 12.299999999999999, 43.5)"
126,11:20:53,0:33:9,"(-9.676221555, -0.573689025, 0.038245935)","(44.4, 12.75, 42.449999999999996)"
127,11:21:03,0:33:19,"(-9.523237815, -0.49719715499999995, 0.038245935)","(44.699999999999996, 12.15, 43.199999999999996)"
